px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.312243	0.58034	5.20024	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0
0.844881	0.58261	5.25084	0.041781	0.0109794	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	1.32963
1.11959	0.579245	5.26915	0.0364985	0.00881792	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.652407
1.33329	0.557509	5.15247	0.00791494	-0.0272285	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	3.22241
1.60948	0.572099	5.1557	0.0133708	-0.0222964	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.26344
1.86071	0.570097	5.22135	0.0154215	-0.000601539	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	1.31745
2.13766	0.587006	5.22816	0.022971	0.00913969	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.358951
2.37103	0.623202	5.17	0.0576875	0.0645487	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	2.66509
2.63381	0.643237	5.1737	0.0638366	0.0694764	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.053337
2.89751	0.65301	5.19871	0.0615149	0.0618082	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.101285
3.13199	0.662942	5.17164	0.0643051	0.0612695	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.804496
3.41079	0.603207	5.21172	0.00415694	-0.0557955	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	2.95561
3.70793	0.541644	5.26086	-0.0516525	-0.153515	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	4.82326
3.98632	0.576255	5.31554	-0.0206775	-0.0772293	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	2.00499
4.26043	0.571746	5.32662	-0.0243324	-0.0764974	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.128377
4.52073	0.595083	5.29812	-0.00846041	-0.0439744	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.774815
4.7161	0.675596	5.20511	0.0494689	0.055142	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	10.0753
4.96984	0.673881	5.15066	0.0406454	0.0349225	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	1.84018
5.271	0.67153	5.20776	0.0317818	0.0189942	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	3.25857
5.53019	0.679664	5.23967	0.0339797	0.0217277	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	1.60855
5.82562	0.691672	5.28372	0.0353563	0.0226191	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	2.02673
6.06991	0.632092	5.21061	-0.00453756	-0.0391497	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	4.05606
6.32838	0.723967	5.20861	0.0466653	0.0375387	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	3.18792
6.57973	0.752652	5.17427	0.0573915	0.0496876	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.526283
6.83004	0.752334	5.16419	0.0517154	0.0383389	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.20942
7.07407	0.73903	5.08228	0.0385417	0.0167266	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	3.17453
7.29716	0.814253	5.04437	0.0748647	0.0646097	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	2.67473
7.58836	0.828068	5.14854	0.0743574	0.0598603	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	4.5117
7.84057	0.808845	5.1413	0.0575749	0.0337569	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.573528
8.09081	0.826681	5.08502	0.0602895	0.034331	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	2.48123
8.33013	0.842921	5.06666	0.0628841	0.0355532	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.351574
8.59834	0.928331	5.15675	0.0997093	0.0820284	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	6.73361
8.83716	0.985525	5.13627	0.119974	0.103053	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.701718
9.1259	1.02449	5.19304	0.127353	0.105518	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	6.84363
9.36446	1.05744	5.16879	0.133179	0.106431	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.61741
9.64305	1.12985	5.22058	0.155627	0.12808	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	4.52594
9.9167	1.25663	5.25401	0.202851	0.180101	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	3.1799
10.1654	1.34767	5.19668	0.232019	0.207958	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	4.81633
10.3914	1.42904	5.16708	0.254055	0.223247	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	1.13087
10.6235	1.51627	5.08072	0.279713	0.245543	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	4.09053
10.8503	1.54747	5.04835	0.27413	0.223328	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	1.28673
11.1155	1.59972	5.08942	0.27409	0.20777	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	1.94785
11.3953	1.64496	5.12678	0.269241	0.187902	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	2.01037
11.6267	1.70372	5.0793	0.27618	0.186251	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.900067
11.8574	1.76768	5.06068	0.283817	0.184346	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.347208
12.1126	1.85836	5.11767	0.299051	0.189925	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	1.36848
12.3564	1.88567	5.0986	0.285334	0.160846	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.737319
12.6121	1.9466	5.14248	0.284973	0.148276	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.955748
12.8123	2.08146	5.10986	0.326689	0.191603	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	3.24295
13.0783	2.18899	5.20166	0.341844	0.194575	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	3.4486
13.2816	2.3303	5.17405	0.381354	0.232089	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	2.47015
13.4613	2.47876	5.06335	0.429226	0.284114	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	10.8175
13.7111	2.59263	5.09242	0.443758	0.284167	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.864572
13.9305	2.70747	5.0719	0.462308	0.291087	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.201962
14.1592	2.85977	5.09685	0.493438	0.311281	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.562775
14.4089	2.9688	5.16339	0.493768	0.285945	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	1.53204
14.6167	3.0394	5.10815	0.487542	0.261427	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	2.28245
14.8474	3.19285	5.16857	0.510602	0.269269	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	3.77143
