px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.312243	0.58034	5.20024	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0
0.312243	0.58034	5.20024	0	0	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0
1.1109	0.555003	5.21563	-0.0174286	-0.00427117	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	1.28917
1.1109	0.555003	5.21563	-0.0174286	-0.00427117	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0
1.63943	0.57427	5.21909	0.00359847	0.00682792	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.187077
1.63943	0.57427	5.21909	0.00359847	0.00682792	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0
2.16922	0.607734	5.22892	0.0256696	0.0239526	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.15811
2.16922	0.607734	5.22892	0.0256696	0.0239526	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0
2.67893	0.642251	5.21292	0.0410224	0.0380846	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.0828256
2.67893	0.642251	5.21292	0.0410224	0.0380846	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0
3.1411	0.652348	5.10444	0.0381948	0.030062	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	1.08
3.1411	0.652348	5.10444	0.0381948	0.030062	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	0
3.72734	0.502667	5.25594	-0.0645853	-0.126305	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	4.86898
3.72734	0.502667	5.25594	-0.0645853	-0.126305	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	0
4.26884	0.519146	5.29589	-0.0438659	-0.0747327	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.406447
4.26884	0.519146	5.29589	-0.0438659	-0.0747327	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0
4.65142	0.686018	4.9935	0.06533	0.103035	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	9.75823
4.65142	0.686018	4.9935	0.06533	0.103035	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	0
5.26971	0.686172	5.23449	0.053324	0.0690631	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	4.23823
5.26971	0.686172	5.23449	0.053324	0.0690631	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	0
5.86604	0.711334	5.37965	0.0563116	0.0627915	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	1.60783
5.86604	0.711334	5.37965	0.0563116	0.0627915	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	0
6.38073	0.840906	5.34869	0.120149	0.144438	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	1.08594
6.38073	0.840906	5.34869	0.120149	0.144438	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0
6.87087	0.819282	5.26649	0.0856956	0.077465	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	1.412
6.87087	0.819282	5.26649	0.0856956	0.077465	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	0
7.31158	0.910686	5.1236	0.121154	0.115621	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	2.17341
7.31158	0.910686	5.1236	0.121154	0.115621	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	0
7.81747	0.861875	5.10252	0.0716567	0.0339712	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	1.63267
7.81747	0.861875	5.10252	0.0716567	0.0339712	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	0
8.30162	0.874421	5.05657	0.062894	0.017808	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.272688
8.30162	0.874421	5.05657	0.062894	0.017808	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	0
8.78543	0.967844	5.03067	0.0980483	0.0623023	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.611996
8.78543	0.967844	5.03067	0.0980483	0.0623023	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	0
9.2754	1.03173	5.0163	0.111715	0.0722541	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.0487362
9.2754	1.03173	5.0163	0.111715	0.0722541	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	0
9.8534	1.23606	5.18851	0.193135	0.171485	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	5.71997
9.8534	1.23606	5.18851	0.193135	0.171485	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	0
10.3243	1.39169	5.1362	0.240313	0.212325	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	0.728178
10.3243	1.39169	5.1362	0.240313	0.212325	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	0
10.7943	1.49291	5.08117	0.25023	0.197589	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	0.368356
10.7943	1.49291	5.08117	0.25023	0.197589	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	0
11.378	1.6126	5.24495	0.254438	0.174958	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	2.81271
11.378	1.6126	5.24495	0.254438	0.174958	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0
11.8507	1.75026	5.18811	0.276514	0.181634	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.334039
11.8507	1.75026	5.18811	0.276514	0.181634	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	0
12.3427	1.8497	5.15954	0.271363	0.15025	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.352754
12.3427	1.8497	5.15954	0.271363	0.15025	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0
12.7553	2.07502	5.05439	0.34014	0.223627	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	2.59067
12.7553	2.07502	5.05439	0.34014	0.223627	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	0
13.1793	2.31816	5.00475	0.405364	0.282004	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	1.2026
13.1793	2.31816	5.00475	0.405364	0.282004	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	0
13.6952	2.55641	5.129	0.440959	0.290739	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	1.57134
13.6952	2.55641	5.129	0.440959	0.290739	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0
14.1661	2.84416	5.19087	0.499113	0.32944	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.809412
14.1661	2.84416	5.19087	0.499113	0.32944	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	0
14.5747	3.02899	5.06848	0.506652	0.296589	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	1.81714
14.5747	3.02899	5.06848	0.506652	0.296589	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	0
15.0069	3.37019	5.13095	0.580782	0.356087	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	1.38162
15.0069	3.37019	5.13095	0.580782	0.356087	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	0
15.4523	3.7212	5.22287	0.640043	0.386915	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	1.11875
15.4523	3.7212	5.22287	0.640043	0.386915	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0
15.9044	4.01887	5.26443	0.657751	0.357848	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.399959
15.9044	4.01887	5.26443	0.657751	0.357848	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	0
16.3144	4.38413	5.30329	0.709666	0.379227	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.277407
16.3144	4.38413	5.30329	0.709666	0.379227	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0
16.6761	4.71839	5.23566	0.75024	0.383742	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.462616
16.6761	4.71839	5.23566	0.75024	0.383742	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	0
17.0238	5.1338	5.25803	0.818917	0.424661	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.513849
17.0238	5.1338	5.25803	0.818917	0.424661	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	0
17.3489	5.49644	5.19006	0.859157	0.42262	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.464019
17.3489	5.49644	5.19006	0.859157	0.42262	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	0
17.7333	5.79063	5.12385	0.841979	0.342575	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	2.24267
17.7333	5.79063	5.12385	0.841979	0.342575	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0
18.0891	6.17138	5.14309	0.865582	0.327848	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.0986662
18.0891	6.17138	5.14309	0.865582	0.327848	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0
18.3367	6.6125	5.1093	0.945004	0.391691	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	1.26587
18.3367	6.6125	5.1093	0.945004	0.391691	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0
18.6108	6.94045	4.96233	0.959654	0.359916	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	2.43151
18.6108	6.94045	4.96233	0.959654	0.359916	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0
18.9923	7.27869	4.97407	0.927715	0.267591	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	2.44123
18.9923	7.27869	4.97407	0.927715	0.267591	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	0
19.173	7.75977	4.96935	1.02824	0.367544	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	2.83224
19.173	7.75977	4.96935	1.02824	0.367544	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0
19.3148	8.18325	4.85137	1.11018	0.42978	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	2.49514
19.3148	8.18325	4.85137	1.11018	0.42978	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	0
19.4695	8.52451	4.65253	1.14879	0.426566	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	3.97145
19.4695	8.52451	4.65253	1.14879	0.426566	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0
19.7883	8.9161	4.71562	1.11536	0.323697	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	3.4565
19.7883	8.9161	4.71562	1.11536	0.323697	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	0
