px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0
0.862916	0.534212	4.89281	0	0	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0
0.862916	0.534212	4.89281	0	0	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0
1.24437	0.49722	4.91423	-0.018406	-0.00206309	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	1.41252
1.24437	0.49722	4.91423	-0.018406	-0.00206309	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0
1.7302	0.515405	5.05956	0.0211799	0.0481261	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	2.34454
1.7302	0.515405	5.05956	0.0211799	0.0481261	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0
2.20216	0.573247	5.04434	0.0782226	0.118381	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	1.84575
2.20216	0.573247	5.04434	0.0782226	0.118381	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0
2.74515	0.617055	5.11721	0.0846846	0.112026	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.737928
2.74515	0.617055	5.11721	0.0846846	0.112026	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0
3.30522	0.574825	5.18621	0.0162226	-0.0305028	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	3.40787
3.30522	0.574825	5.18621	0.0162226	-0.0305028	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	0
3.88379	0.617987	5.2866	0.0332518	0.00975359	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	2.17039
3.88379	0.617987	5.2866	0.0332518	0.00975359	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0
4.42837	0.647149	5.26288	0.0375685	0.0133638	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.609654
4.42837	0.647149	5.26288	0.0375685	0.0133638	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	0
4.9616	0.652441	5.17011	0.0235312	-0.0159742	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	2.05978
4.9616	0.652441	5.17011	0.0235312	-0.0159742	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	0
5.4652	0.667393	5.2344	0.0284103	-0.00357928	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	1.39628
5.4652	0.667393	5.2344	0.0284103	-0.00357928	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	0
5.97047	0.563405	5.15558	-0.0408674	-0.107758	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	2.63929
5.97047	0.563405	5.15558	-0.0408674	-0.107758	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	0
6.48545	0.639325	5.12557	0.00108203	-0.0344602	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	1.66554
6.48545	0.639325	5.12557	0.00108203	-0.0344602	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0
7.00033	0.624508	5.02512	-0.0133008	-0.0514562	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	2.5972
7.00033	0.624508	5.02512	-0.0133008	-0.0514562	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	0
7.58352	0.674584	5.18442	0.0102433	-0.00973518	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	5.27619
7.58352	0.674584	5.18442	0.0102433	-0.00973518	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0
8.1014	0.7345	5.08656	0.0333347	0.0188738	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	2.87472
8.1014	0.7345	5.08656	0.0333347	0.0188738	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0
8.61465	0.966154	5.20111	0.136156	0.144519	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	6.90315
8.61465	0.966154	5.20111	0.136156	0.144519	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0
9.20167	1.05324	5.26391	0.153387	0.147708	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	5.75472
9.20167	1.05324	5.26391	0.153387	0.147708	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0
9.75268	1.23932	5.31031	0.210921	0.197637	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	2.71928
9.75268	1.23932	5.31031	0.210921	0.197637	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	0
10.2558	1.46847	5.21165	0.283605	0.264377	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	3.54083
10.2558	1.46847	5.21165	0.283605	0.264377	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	0
10.7261	1.66445	5.07691	0.338161	0.306965	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	2.89454
10.7261	1.66445	5.07691	0.338161	0.306965	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	0
11.2526	1.71002	5.11769	0.309886	0.237328	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	1.82386
11.2526	1.71002	5.11769	0.309886	0.237328	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	0
11.711	1.78971	5.04357	0.305465	0.209692	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	1.58462
11.711	1.78971	5.04357	0.305465	0.209692	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0
12.1982	1.99781	5.13973	0.341354	0.219941	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	1.12415
12.1982	1.99781	5.13973	0.341354	0.219941	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0
12.6989	2.06097	5.18008	0.313055	0.159972	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	1.78401
12.6989	2.06097	5.18008	0.313055	0.159972	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	0
13.2006	2.3369	5.30654	0.365591	0.191679	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	1.95513
13.2006	2.3369	5.30654	0.365591	0.191679	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	0
13.5274	2.76358	5.14155	0.497835	0.325473	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	12.1832
13.5274	2.76358	5.14155	0.497835	0.325473	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0
13.9639	2.95228	5.09946	0.510881	0.308717	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.650758
13.9639	2.95228	5.09946	0.510881	0.308717	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0
14.4643	3.08568	5.16518	0.479614	0.230976	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	1.75268
14.4643	3.08568	5.16518	0.479614	0.230976	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	0
14.8864	3.48749	5.26984	0.553022	0.270759	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	2.17461
14.8864	3.48749	5.26984	0.553022	0.270759	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	0
15.2942	3.88056	5.2536	0.629815	0.33026	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	1.14783
15.2942	3.88056	5.2536	0.629815	0.33026	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0
15.7427	4.01084	5.16488	0.60316	0.278338	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	2.20534
15.7427	4.01084	5.16488	0.60316	0.278338	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0
16.1513	4.30178	5.08376	0.64365	0.308485	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	1.48179
16.1513	4.30178	5.08376	0.64365	0.308485	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0
16.5836	4.56816	5.08935	0.654115	0.286519	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.381403
16.5836	4.56816	5.08935	0.654115	0.286519	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0
16.9007	4.98032	4.9721	0.751371	0.38756	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	4.32348
16.9007	4.98032	4.9721	0.751371	0.38756	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0
17.2798	5.18806	4.87737	0.755813	0.368379	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	1.49881
17.2798	5.18806	4.87737	0.755813	0.368379	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0
17.6404	5.37978	4.75131	0.762191	0.358841	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	2.29348
17.6404	5.37978	4.75131	0.762191	0.358841	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	0
17.9283	5.80701	4.74277	0.843608	0.415171	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	1.01552
17.9283	5.80701	4.74277	0.843608	0.415171	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0
18.2069	6.28611	4.82639	0.913569	0.429832	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	1.10956
18.2069	6.28611	4.82639	0.913569	0.429832	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0
18.4623	6.74894	4.86305	0.981746	0.452309	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.311786
18.4623	6.74894	4.86305	0.981746	0.452309	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	0
18.7617	7.13526	4.89405	0.994901	0.401414	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0.746954
18.7617	7.13526	4.89405	0.994901	0.401414	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	0
18.9345	7.57329	4.84368	1.07512	0.459511	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	3.05602
18.9345	7.57329	4.84368	1.07512	0.459511	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	0
19.203	7.92174	4.81328	1.08475	0.4182	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0.479446
19.203	7.92174	4.81328	1.08475	0.4182	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	0
19.398	8.32579	4.80632	1.11416	0.392387	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	2.26367
19.398	8.32579	4.80632	1.11416	0.392387	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	0
19.6061	8.70024	4.74375	1.15267	0.40909	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0.603672
19.6061	8.70024	4.74375	1.15267	0.40909	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	0
19.7353	9.21216	4.77516	1.22673	0.447852	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	0.519816
19.7353	9.21216	4.77516	1.22673	0.447852	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	0
19.819	9.71239	4.78239	1.30907	0.499235	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	0.88403
19.819	9.71239	4.78239	1.30907	0.499235	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	0
19.8499	10.3857	4.9584	1.37233	0.457954	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	5.76198
19.8499	10.3857	4.9584	1.37233	0.457954	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	0
19.8823	10.8877	4.95581	1.44473	0.49685	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	0.907847
19.8823	10.8877	4.95581	1.44473	0.49685	20.371	11.0109	20.1663	10.864	0.722256	4.7934	0
19.8781	11.5188	5.07278	1.49786	0.461767	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	2.67158
19.8781	11.5188	5.07278	1.49786	0.461767	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	0
19.7435	12.114	5.12278	1.62346	0.574731	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	4.9809
19.7435	12.114	5.12278	1.62346	0.574731	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	0
19.8469	12.4737	4.99167	1.59279	0.442592	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	4.65156
19.8469	12.4737	4.99167	1.59279	0.442592	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	0
19.8187	12.9021	4.91635	1.66429	0.515403	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	2.15021
19.8187	12.9021	4.91635	1.66429	0.515403	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	0
19.931	13.2049	4.75568	1.67689	0.502306	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	5.37131
19.931	13.2049	4.75568	1.67689	0.502306	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	0
19.8782	13.6571	4.7427	1.71874	0.486732	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	0.199315
19.8782	13.6571	4.7427	1.71874	0.486732	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	0
19.8621	14.0286	4.65331	1.76572	0.512777	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	1.42751
19.8621	14.0286	4.65331	1.76572	0.512777	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0
19.7495	14.4753	4.64907	1.81936	0.515074	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	0.141063
19.7495	14.4753	4.64907	1.81936	0.515074	19.781	14.773	19.934	14.6897	-1.30687	4.62805	0
19.7188	14.7937	4.5293	1.84493	0.489742	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	1.94991
19.7188	14.7937	4.5293	1.84493	0.489742	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	0
19.5547	15.2113	4.5115	1.96424	0.650856	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	9.98844
19.5547	15.2113	4.5115	1.96424	0.650856	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	0
19.4684	15.5346	4.41532	2.00196	0.620541	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.17261
19.4684	15.5346	4.41532	2.00196	0.620541	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0
19.2876	15.9408	4.4127	2.03741	0.562761	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	1.00021
19.2876	15.9408	4.4127	2.03741	0.562761	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	0
19.1111	16.3123	4.39305	2.09382	0.574669	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0.66585
19.1111	16.3123	4.39305	2.09382	0.574669	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0
18.7994	16.7921	4.51656	2.20353	0.682218	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	9.3643
18.7994	16.7921	4.51656	2.20353	0.682218	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	0
18.6432	17.1237	4.41159	2.19604	0.539332	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	5.37903
18.6432	17.1237	4.41159	2.19604	0.539332	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	0
18.3827	17.4901	4.41617	2.22752	0.488184	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	0.838443
18.3827	17.4901	4.41617	2.22752	0.488184	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	0
18.1142	17.7691	4.37054	2.3058	0.555725	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	1.48714
18.1142	17.7691	4.37054	2.3058	0.555725	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	0
17.947	18.0667	4.29936	2.33294	0.529276	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	6.74412
17.947	18.0667	4.29936	2.33294	0.529276	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	0
17.6553	18.323	4.26746	2.4018	0.564904	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	0.557097
17.6553	18.323	4.26746	2.4018	0.564904	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	0
17.269	18.7425	4.38911	2.44419	0.538819	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	4.97731
17.269	18.7425	4.38911	2.44419	0.538819	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	0
16.7968	19.1655	4.55975	2.50861	0.55889	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	4.83361
16.7968	19.1655	4.55975	2.50861	0.55889	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	0
16.4434	19.2731	4.4642	2.59994	0.616441	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	8.5795
16.4434	19.2731	4.4642	2.59994	0.616441	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	0
16.12	19.4715	4.37918	2.62597	0.539868	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	2.14825
16.12	19.4715	4.37918	2.62597	0.539868	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	0
15.5352	19.9138	4.62262	2.65856	0.497382	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	9.29249
15.5352	19.9138	4.62262	2.65856	0.497382	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	0
15.0781	20.1025	4.64205	2.72053	0.511881	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	1.33423
15.0781	20.1025	4.64205	2.72053	0.511881	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	0
14.5234	20.3784	4.77997	2.77769	0.526236	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	2.0671
14.5234	20.3784	4.77997	2.77769	0.526236	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	0
14.0265	20.571	4.83551	2.83806	0.546661	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	0.565512
14.0265	20.571	4.83551	2.83806	0.546661	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	0
13.5915	20.6343	4.8107	2.92769	0.620024	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	1.6609
13.5915	20.6343	4.8107	2.92769	0.620024	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	0
13.1272	20.7728	4.8203	2.97612	0.604354	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	2.01117
13.1272	20.7728	4.8203	2.97612	0.604354	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	0
12.4745	20.9667	4.99743	3.02436	0.589476	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	3.3241
12.4745	20.9667	4.99743	3.02436	0.589476	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	0
12.0265	21.0093	4.96348	3.08355	0.596734	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	0.999743
12.0265	21.0093	4.96348	3.08355	0.596734	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	0
11.5435	20.9813	4.94216	3.15225	0.605337	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	1.00173
11.5435	20.9813	4.94216	3.15225	0.605337	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	0
10.9954	20.9291	4.9756	3.22075	0.607767	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	3.61373
10.9954	20.9291	4.9756	3.22075	0.607767	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643	0
10.319	21.0051	5.10217	3.23218	0.51731	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604	4.73085
10.319	21.0051	5.10217	3.23218	0.51731	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674	0
9.81957	20.9894	5.10102	3.27121	0.502092	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	1.46892
9.81957	20.9894	5.10102	3.27121	0.502092	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	0
9.3038	20.9784	5.08546	3.27897	0.42115	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	2.10836
9.3038	20.9784	5.08546	3.27897	0.42115	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	0
8.9257	20.8776	4.98562	3.33185	0.440337	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	2.6714
